-1.79322654e+00  1.57186581e-03  3.01246970e-01  4.11746832e+00 -3.14779069e+00  0.00000000e+00  2.36000000e+00  3.28000000e-01  1.90000000e-01  1.90000000e-01  2.14000000e-01  3.75000000e-01  4.65000000e-01  0.00000000e+00 -5.00000000e-01
-1.77631848e+00  5.46499151e-04 -2.28664393e-01  4.11873381e+00 -3.14781371e+00  0.00000000e+00  2.37600000e+00  3.30000000e-01  1.90000000e-01  1.90000000e-01  2.25000000e-01  3.84000000e-01  4.80000000e-01  0.00000000e+00 -5.00000000e-01
-1.87048537 -0.00475918 -0.58378834  4.11820273 -3.14808753  0.  2.448       0.414       0.19        0.19        0.197       0.37  0.447       0.         -0.5       
-1.98406082 -0.00621458 -0.53169027  4.11774716 -3.14920789  0.  2.56        0.525       0.199       0.19        0.2         0.376  0.406       0.         -0.5       
-2.0844354  -0.00465778 -0.48855873  4.11739747 -3.15021065  0.  2.714       0.735       0.2         0.19        0.197       0.373  0.408       0.         -0.5       
-2.18285132 -0.00453354 -0.49763818  4.11695722 -3.15101193  0.  2.896       1.197       0.233       0.19        0.19        0.326  0.389       0.         -0.5       
-2.3080646  -0.00506022 -0.50280441  4.11626573 -3.15202034  0.579  0.          2.306       0.255       0.19        0.19        0.281  0.389       0.         -0.5       
-2.4082633  -0.00490279 -0.50030439  4.11562713 -3.15276125  0.522  0.          2.315       0.268       0.194       0.192       0.253  0.375       0.         -0.5       
-2.50843187 -0.00480303 -0.50002583  4.1149041  -3.15343882  0.49  0.          2.343       0.313       0.19        0.19        0.237  0.379       0.         -0.5       
-2.60850448 -0.00495831 -0.50077906  4.11413034 -3.15403036  0.455  0.          2.401       0.364       0.19        0.19        0.229  0.377       0.         -0.5       
-2.70868867 -0.00483798 -0.50164636  4.11328527 -3.15453654  0.429  0.          2.465       0.472       0.199       0.19        0.198  0.374       0.         -0.5       
-2.80881809 -0.00502847 -0.50079641  4.11240572 -3.15498066  0.399  0.          2.565       0.604       0.198       0.19        0.195  0.369       0.         -0.5       
-2.90897982 -0.00478029 -0.49903254  4.11148049 -3.15531034  0.387  0.          2.725       0.874       0.22        0.19        0.198  0.364       0.23415166 -0.5       
-3.01633096  0.07525999 -0.58272694  4.11681529 -3.15251709  0.394  0.649       2.93        1.711       0.231       0.19        0.19  0.333       0.5        -0.5       
-3.13637468  0.16201197 -0.5376713   4.14165747 -3.14809071  0.406  0.602       0.          2.271       0.249       0.19        0.19  0.271       0.5        -0.5       
 3.02425334  0.26918315 -0.68629278  4.18569807 -3.1497561   0.437  0.585       0.          2.263       0.293       0.19        0.19  0.239       0.5        -0.5       
 2.86901094  0.39551817 -0.85431196  4.25120435 -3.1637179   0.504  0.608       0.          2.264       0.382       0.194       0.19  0.228       0.28298128 -0.5       
 2.70532085  0.34884429 -0.72417412  4.32602756 -3.18846339  0.514  0.652       0.          2.342       0.643       0.232       0.19  0.234       0.16903479 -0.5       
 2.58040658  0.23602137 -0.53016835  4.38092646 -3.20933183  0.435  0.656       0.          2.454       1.167       0.29        0.224  0.246       0.01710081 -0.5       
 2.48776398  0.10613547 -0.41342601  4.41527924 -3.22061243  0.417  0.685       0.          2.567       1.819       0.32        0.236  0.25        0.01710081 -0.5       
 2.40950742  0.01662482 -0.41615201  4.42906155 -3.22094706  0.365  0.702       0.          2.789       1.989       0.349       0.238  0.249       0.01710081 -0.5       
 2.31507036  0.00542093 -0.51031142  4.4298359  -3.22196887  0.338  0.69        0.          0.          2.005       0.358       0.243  0.237       0.01710081 -0.5       
